Time,Open,High,Low,Latest,Change,%Change,Volume,OpenInt
03/03/2026,6883.50,6886.00,6742.75,6755.00,-133.25,-1.93%,318600,0
03/02/2026,6820.00,6911.25,6768.50,6888.25,-0.75,-0.01%,1844835,2011367
02/27/2026,6899.00,6915.50,6841.50,6889.00,-31,-0.45%,1638910,1969518
02/26/2026,6965.00,6970.75,6870.75,6920.00,-39.75,-0.57%,1548837,2001968
02/25/2026,6900.25,6983.75,6892.25,6959.75,56,0.0081,1062293,1996314
02/24/2026,6858.25,6912.75,6828.50,6903.75,52.25,0.0076,1335317,1967227
02/23/2026,6918.00,6930.25,6832.75,6851.50,-71.75,-1.04%,1462094,1950600
02/20/2026,6874.25,6931.50,6847.25,6923.25,46.25,0.0067,1816863,1952389
02/19/2026,6891.75,6912.50,6847.75,6877.00,-17.25,-0.25%,1286455,1927405
02/18/2026,6862.75,6925.75,6848.75,6894.25,33.75,0.0049,1346435,1918391
02/17/2026,6852.50,6885.50,6791.00,6860.50,10,0.0015,1837384,1922265
02/13/2026,6865.50,6897.75,6808.75,6850.50,-0.5,-0.01%,1803723,1905776
02/12/2026,6964.50,6992.75,6842.00,6851.00,-109.5,-1.57%,2078744,1895044
02/11/2026,6971.50,7011.50,6931.00,6960.50,-1,-0.01%,1498739,1885964
02/10/2026,6985.00,7006.50,6957.00,6961.50,-21.75,-0.31%,1187062,1895000
02/09/2026,6960.25,7000.50,6921.00,6983.25,30.5,0.0044,1198044,1894790
02/06/2026,6785.50,6965.50,6751.50,6952.75,132,0.0194,1796075,1903169
02/05/2026,6915.50,6935.25,6785.00,6820.75,-85.5,-1.24%,2107676,1913796
02/04/2026,6934.00,6965.75,6862.50,6906.25,-35.5,-0.51%,2145116,1906799
02/03/2026,7004.25,7027.25,6886.25,6941.75,-60.75,-0.87%,1942807,1910099
02/02/2026,6938.50,7017.25,6864.50,7002.50,36.75,0.0053,1491899,1904885
01/30/2026,6992.75,6995.00,6917.50,6965.75,-27,-0.39%,2046596,1897443
01/29/2026,7021.50,7029.50,6898.25,6992.75,-14.5,-0.21%,1947645,1897095
01/28/2026,7010.25,7043.00,6977.25,7007.25,-1.25,-0.02%,1187287,1892083
01/27/2026,6977.00,7018.50,6972.00,7008.50,27.25,0.0039,980139,1884327
01/26/2026,6904.00,6995.50,6879.00,6981.25,35.5,0.0051,1062544,1884581
01/23/2026,6938.00,6964.00,6924.75,6945.75,0.75,0.0001,1221966,1871799
01/22/2026,6920.00,6969.00,6911.25,6945.00,35,0.0051,1336659,1875848
01/21/2026,6839.00,6945.25,6814.50,6910.00,80.5,0.0118,2200553,1884320
