Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
09/19/2025,6640.00,6660.75,6622.50,6658.77,23.77,0.36%,19794,0
09/18/2025,6606.00,6662.00,6605.75,6635.00,33.75,0.51%,339967,437592
09/17/2025,6613.00,6629.00,6554.00,6601.25,-9.5,-0.14%,560841,495373
09/16/2025,6616.25,6639.00,6604.25,6610.75,-10.75,-0.16%,837034,672009
09/15/2025,6588.25,6623.50,6585.25,6621.50,33.25,0.50%,1539732,949149
9/12/2025,6596.25,6606.00,6576.00,6588.25,-4.25,-0.06%,1601056,1500631
9/11/2025,6535.75,6600.00,6535.50,6592.50,52.75,0.81%,1282669,1875374
9/10/2025,6532.25,6565.25,6522.50,6539.75,18,0.0028,1381759,1900830
09/09/2025,6507.75,6536.25,6489.25,6521.75,15.75,0.24%,1169514,1928398
09/08/2025,6483.75,6516.50,6480.25,6506.00,16.25,0.25%,1187985,1926117
09/05/2025,6515.75,6541.75,6452.00,6489.75,-21,-0.32%,1710784,1927572
09/04/2025,6460.00,6516.75,6454.50,6510.75,53.5,0.83%,1186477,1943581
09/03/2025,6448.00,6464.25,6425.50,6457.25,31.75,0.49%,1435997,1925799
09/02/2025,6478.75,6491.50,6371.75,6425.50,-47.25,-0.73%,1802584,1925383
08/29/2025,6516.00,6518.00,6455.50,6472.75,-44.75,-0.69%,1341493,1936896
08/28/2025,6485.00,6523.00,6471.00,6517.50,21.5,0.0033,1170397,1947158
08/27/2025,6486.75,6505.50,6459.25,6496.00,13.5,0.0021,957730,1938610
08/26/2025,6460.25,6487.50,6430.75,6482.50,27,0.42%,1133761,1951152
08/25/2025,6493.00,6494.00,6453.00,6455.50,-27.75,-0.43%,932515,1931795
08/22/2025,6392.00,6496.25,6364.00,6483.25,95,1.49%,1420723,1949199
08/21/2025,6414.25,6419.00,6370.25,6388.25,-25,-0.39%,1200689,1938640
08/20/2025,6433.00,6438.00,6362.75,6413.25,-19.25,-0.30%,1609469,1932038
08/19/2025,6468.50,6477.50,6419.25,6432.50,-36.75,-0.57%,1224317,1936326
08/18/2025,6467.00,6484.25,6456.00,6469.25,-2.25,-0.03%,860451,1926447
08/15/2025,6489.25,6508.75,6461.50,6471.50,-19,-0.29%,1122157,1918290
08/14/2025,6485.00,6496.00,6453.25,6490.50,1.75,0.03%,1186070,1918653
08/13/2025,6468.00,6502.50,6461.00,6488.75,20.25,0.0031,1111683,1922921
8/12/2025,6396.00,6470.00,6391.25,6468.50,68.75,0.0107,1271180,1937278
8/11/2025,6422.75,6431.50,6387.50,6399.75,-13.75,-0.21%,1073359,1911649
08/08/2025,6372.50,6425.75,6369.25,6413.50,47,0.74%,1196497,1919575
08/07/2025,6371.00,6426.75,6334.50,6366.50,-4.5,-0.07%,1458573,1897751
08/06/2025,6323.00,6379.50,6313.25,6371.00,45.75,0.0072,1233346,1891971
08/05/2025,6370.00,6377.50,6315.50,6325.25,-30.75,-0.48%,1402448,1882473
08/04/2025,6257.00,6370.00,6251.25,6356.00,91.5,1.46%,1304652,1875925
08/01/2025,6359.50,6373.50,6239.50,6264.50,-109.75,-1.72%,2287699,1881395
07/31/2025,6435.50,6468.50,6357.50,6374.25,-22,-0.34%,1857020,1913818
07/30/2025,6404.00,6435.25,6366.75,6396.25,-9.75,-0.15%,1302795,1925257
07/29/2025,6424.25,6442.50,6396.25,6406.00,-16.75,-0.26%,1122508,1922403
07/28/2025,6450.00,6457.75,6408.75,6422.75,-2.25,-0.04%,972646,1927538
07/25/2025,6406.75,6431.00,6401.00,6425.00,23.5,0.0037,829856,1936194
07/24/2025,6404.00,6418.25,6391.50,6401.50,5.25,0.0008,1073595,1939962
07/23/2025,6346.50,6407.25,6342.75,6396.25,49.5,0.78%,1203541,1909077
07/22/2025,6347.00,6353.75,6318.75,6346.75,2,0.03%,1130356,1899615
07/21/2025,6335.75,6374.00,6329.75,6344.75,10,0.16%,934271,1917281
07/18/2025,6342.50,6357.00,6323.25,6334.75,-5.75,-0.09%,1050307,1918963
07/17/2025,6299.25,6345.50,6288.25,6340.50,37.25,0.59%,1052843,1937479
07/16/2025,6273.75,6308.75,6241.00,6303.25,19.25,0.0031,1462969,1931550
07/15/2025,6309.50,6343.00,6272.50,6284.00,-27,-0.43%,1279068,1919796
07/14/2025,6274.00,6315.00,6259.75,6311.00,11,0.0017,909223,1911433
7/11/2025,6323.00,6330.25,6276.75,6300.00,-24.25,-0.38%,1100047,1908193
07/10/2025,6306.00,6335.50,6287.50,6324.25,17,0.27%,948393,1898695
07/09/2025,6272.00,6315.25,6260.00,6307.25,35.25,0.56%,1144723,1890810
07/08/2025,6262.50,6289.00,6254.50,6272.00,-4,-0.06%,1073914,1884916
7/7/2025,6307.75,6315.00,6246.25,6276.00,-48.25,-0.76%,1376613,1897276
7/3/2025,6276.50,6333.25,6270.50,6324.25,49.25,0.78%,750998,1905589
7/2/2025,6247.75,6279.50,6235.50,6275.00,26.25,0.0042,1044261,1892042
07/01/2025,6245.75,6261.50,6227.25,6248.75,-5,-0.08%,1320618,1873814
06/30/2025,6223.25,6265.50,6223.25,6253.75,30,0.48%,1364101,1862027
06/27/2025,6197.50,6239.00,6183.25,6223.75,28.75,0.0046,121982,1865771
06/26/2025,6144.75,6200.00,6141.25,6195.00,48,0.0078,1039428,1898927
06/25/2025,6144.75,6160.25,6130.75,6147.00,0.75,0.01%,902500,1887409
06/24/2025,6078.00,6155.25,6075.25,6146.25,69.25,1.14%,1077333,1874134
06/23/2025,5964.00,6081.50,5959.00,6077.00,59,0.98%,1358034,1844523
06/20/2025,6038.25,6071.00,5969.50,6018.00,-16.25,-0.27%,1694443,1861792
