Date,Open,High,Low,Close,Change,%Change,Volume
2026-03-03,6768.7,6840.05,6711.01,6816.63,-64.99,-0.94%,0
2026-03-02,6800.78,6901.01,6799.15,6881.62,2.74,+0.04%,0
2026-02-27,6856.54,6882.96,6831.74,6878.88,-29.98,-0.43%,0
2026-02-26,6944.74,6947.25,6860.21,6908.86,-37.27,-0.54%,0
2026-02-25,6915.15,6952.51,6915.15,6946.13,56.06,+0.81%,0
2026-02-24,6838.3,6899.17,6816.6,6890.07,52.32,+0.77%,0
2026-02-23,6901.25,6915.97,6820.77,6837.75,-71.76,-1.04%,0
2026-02-20,6843.26,6915.86,6836.74,6909.51,47.62,+0.69%,0
2026-02-19,6855.36,6878.73,6834.55,6861.89,-19.42,-0.28%,0
2026-02-18,6855.48,6909.12,6851.52,6881.31,38.09,+0.56%,0
2026-02-17,6819.86,6866.99,6775.5,6843.22,7.05,+0.10%,0
2026-02-13,6831.12,6881.35,6794.66,6836.17,3.41,+0.05%,0
2026-02-12,6957.54,6972.54,6824.04,6832.76,-108.71,-1.57%,0
2026-02-11,6985.03,6992.61,6911.97,6941.47,-0.34,0.00%,0
2026-02-10,6974.49,6986.83,6937.78,6941.81,-23.01,-0.33%,0
2026-02-09,6917.26,6980.1,6906.82,6964.82,32.52,+0.47%,0
2026-02-06,6830.62,6944.89,6830.62,6932.3,133.9,+1.97%,0
2026-02-05,6837.39,6856.49,6780.13,6798.4,-84.32,-1.23%,0
2026-02-04,6924.5,6936.09,6840.75,6882.72,-35.09,-0.51%,0
2026-02-03,6985.45,6991.87,6862.18,6917.81,-58.63,-0.84%,0
2026-02-02,6916.64,6991.92,6916.64,6976.44,37.41,+0.54%,0
2026-01-30,6946.15,6964.09,6894.04,6939.03,-29.98,-0.43%,0
2026-01-29,6987.55,6991.99,6871.07,6969.01,-9.02,-0.13%,0
2026-01-28,7002,7002.24,6963.46,6978.03,-0.57,-0.01%,0
2026-01-27,6966.27,6988.82,6959.18,6978.6,28.37,+0.41%,0
2026-01-26,6928.89,6964.66,6921.6,6950.23,34.62,+0.50%,0
2026-01-23,6909.71,6932.96,6895.73,6915.61,2.26,+0.03%,0
2026-01-22,6914.44,6934.75,6893.62,6913.35,37.73,+0.55%,0
2026-01-21,6819.43,6910.39,6805.01,6875.62,78.76,+1.16%,0
2026-01-20,6847.93,6871.17,6789.05,6796.86,-143.15,-2.06%,0
2026-01-16,6957.54,6967.3,6925.76,6940.01,-4.46,-0.06%,0
2026-01-15,6969.46,6979.34,6937.93,6944.47,17.87,+0.26%,0
2026-01-14,6936.82,6941.3,6885.89,6926.6,-37.14,-0.53%,0
2026-01-13,6980.14,6985.83,6938.77,6963.74,-13.53,-0.19%,0
2026-01-12,6935.8,6986.33,6934.07,6977.27,10.99,+0.16%,0
2026-01-09,6933.73,6978.36,6918.01,6966.28,44.82,+0.65%,0
2026-01-08,6914.11,6931.28,6900.82,6921.46,0.53,+0.01%,0
2026-01-07,6945.07,6965.69,6919.19,6920.93,-23.89,-0.34%,0
2026-01-06,6908.03,6948.69,6904.02,6944.82,42.77,+0.62%,0
2026-01-05,6892.19,6920.38,6891.57,6902.05,43.58,+0.64%,0
2026-01-02,6887.01,6894.87,6824.31,6858.47,12.97,+0.19%,0
2025-12-31,6898.82,6900.81,6845.1,6845.5,-50.74,-0.74%,0
2025-12-30,6899.86,6913.25,6893.59,6896.24,-9.5,-0.14%,0
2025-12-29,6900.12,6919.25,6888.77,6905.74,-24.2,-0.35%,0
2025-12-26,6937.77,6945.77,6921.6,6929.94,-2.11,-0.03%,0
2025-12-24,6904.91,6937.32,6904.91,6932.05,22.26,+0.32%,0
2025-12-23,6873.79,6910.88,6872.7,6909.79,31.3,+0.46%,0
2025-12-22,6864.1,6882.03,6856.97,6878.49,43.99,+0.64%,0
2025-12-19,6796.37,6840.02,6793.68,6834.5,59.74,+0.88%,0
2025-12-18,6778.06,6815.98,6758.5,6774.76,53.33,+0.79%,0
2025-12-17,6801.98,6809.47,6720.95,6721.43,-78.83,-1.16%,0
2025-12-16,6804.01,6818.45,6759.74,6800.26,-16.25,-0.24%,0
2025-12-15,6861.59,6861.59,6802.76,6816.51,-10.9,-0.16%,0
2025-12-12,6888.96,6899.03,6801.79,6827.41,-73.59,-1.07%,0
2025-12-11,6859.85,6903.46,6834.25,6901,14.32,+0.21%,0
2025-12-10,6833.49,6900.67,6825.83,6886.68,46.17,+0.67%,0
2025-12-09,6842.8,6864.92,6838.27,6840.51,-6.,-0.09%,0
2025-12-08,6872.29,6876.96,6827.21,6846.51,-23.89,-0.35%,0
2025-12-05,6866.32,6895.78,6858.29,6870.4,13.28,+0.19%,0
2025-12-04,6863.77,6865.93,6827.12,6857.12,7.4,+0.11%,0
2025-12-03,6813.71,6862.38,6810.43,6849.72,20.35,+0.30%,0
2025-12-02,6833.1,6851.16,6806.71,6829.37,16.74,+0.25%,0
2025-12-01,6812.3,6843.65,6799.94,6812.63,-36.46,-0.53%,0
2025-11-28,6822.52,6850.83,6819.75,6849.09,36.48,+0.54%,0
2025-11-26,6793.55,6831.44,6783.87,6812.61,46.73,+0.69%,0
2025-11-25,6697.03,6776.17,6663.13,6765.88,60.76,+0.91%,0
2025-11-24,6636.54,6715.46,6631.11,6705.12,102.13,+1.55%,0
2025-11-21,6561.78,6660.05,6521.92,6602.99,64.23,+0.98%,0
2025-11-20,6737.93,6770.35,6534.05,6538.76,-103.4,-1.56%,0
2025-11-19,6621.22,6689.14,6603.5,6642.16,24.84,+0.38%,0
2025-11-18,6634.16,6666.63,6575.76,6617.32,-55.09,-0.83%,0
2025-11-17,6708.11,6754.5,6639.52,6672.41,-61.7,-0.92%,0
2025-11-14,6666.15,6774.31,6646.87,6734.11,-3.38,-0.05%,0
2025-11-13,6826.47,6827.26,6724.72,6737.49,-113.43,-1.66%,0
2025-11-12,6867.77,6869.91,6829.62,6850.92,4.31,+0.06%,0
2025-11-11,6815.64,6855.13,6806.87,6846.61,14.18,+0.21%,0
2025-11-10,6785.36,6841.32,6770.56,6832.43,103.63,+1.54%,0
2025-11-07,6696.18,6729.24,6631.44,6728.8,8.48,+0.13%,0
2025-11-06,6787.59,6796.68,6707.51,6720.32,-75.97,-1.12%,0
2025-11-05,6769.77,6829.78,6763.11,6796.29,24.74,+0.37%,0
2025-11-04,6774.28,6820.15,6766.71,6771.55,-80.42,-1.17%,0
2025-11-03,6882.32,6882.32,6820.83,6851.97,11.77,+0.17%,0
2025-10-31,6879.17,6879.17,6814.26,6840.2,17.86,+0.26%,0
2025-10-30,6860.5,6880.75,6820.69,6822.34,-68.25,-0.99%,0
2025-10-29,6910.72,6920.34,6853.35,6890.59,-0.3,0.00%,0
2025-10-28,6897.74,6911.3,6870.73,6890.89,15.73,+0.23%,0
2025-10-27,6853.19,6877.28,6844.28,6875.16,83.47,+1.23%,0
2025-10-24,6772.07,6807.11,6772.07,6791.69,53.25,+0.79%,0
2025-10-23,6703.65,6749.53,6701.21,6738.44,39.04,+0.58%,0
2025-10-22,6741.34,6741.34,6655.69,6699.4,-35.95,-0.53%,0
2025-10-21,6736.75,6752.16,6722.59,6735.35,0.22,0.00%,0
2025-10-20,6690.05,6744.35,6690.05,6735.13,71.12,+1.07%,0
2025-10-17,6617.07,6678.88,6603.81,6664.01,34.94,+0.53%,0
2025-10-16,6689.02,6709.34,6593.99,6629.07,-41.99,-0.63%,0
2025-10-15,6688.27,6722.62,6612.43,6671.06,26.75,+0.40%,0
2025-10-14,6602.49,6680.7,6555.41,6644.31,-10.41,-0.16%,0
2025-10-13,6622.53,6668.68,6621.17,6654.72,102.21,+1.56%,0
2025-10-10,6740.49,6762.4,6551.36,6552.51,-182.6,-2.71%,0
2025-10-09,6760.5,6764.15,6716.17,6735.11,-18.61,-0.28%,0
2025-10-08,6723.87,6755.64,6718.09,6753.72,39.13,+0.58%,0
2025-10-07,6746.14,6754.38,6700.12,6714.59,-25.69,-0.38%,0
2025-10-06,6736.2,6749.52,6717.78,6740.28,24.49,+0.36%,0
2025-10-03,6722.14,6750.87,6706.09,6715.79,0.44,+0.01%,0
2025-10-02,6731.31,6731.94,6693.23,6715.35,4.15,+0.06%,0
2025-10-01,6664.92,6718.48,6656.41,6711.2,22.74,+0.34%,0
2025-09-30,6656.19,6691.17,6641,6688.46,27.25,+0.41%,0
2025-09-29,6661.58,6677.27,6644.49,6661.21,17.51,+0.26%,0
2025-09-26,6615.38,6647.66,6605.02,6643.7,38.98,+0.59%,0
2025-09-25,6602.35,6619,6569.22,6604.72,-33.25,-0.50%,0
2025-09-24,6669.79,6671.9,6621.76,6637.97,-18.95,-0.28%,0
2025-09-23,6693.78,6699.21,6645.58,6656.92,-36.83,-0.55%,0
2025-09-22,6654.28,6698.88,6648.07,6693.75,29.39,+0.44%,0
2025-09-19,6653.94,6671.82,6630.31,6664.36,32.4,+0.49%,0
2025-09-18,6626.85,6656.8,6612.05,6631.96,31.61,+0.48%,0
2025-09-17,6604.87,6624.39,6552.01,6600.35,-6.41,-0.10%,0
2025-09-16,6624.13,6625.74,6600.11,6606.76,-8.52,-0.13%,0
2025-09-15,6606.27,6619.62,6602.07,6615.28,30.99,+0.47%,0
2025-09-12,6590.66,6600.21,6579.49,6584.29,-3.18,-0.05%,0
2025-09-11,6554.41,6592.89,6546.45,6587.47,55.43,+0.85%,0
2025-09-10,6550.29,6555.97,6516.34,6532.04,19.43,+0.30%,0
2025-09-09,6503.33,6518.23,6483.08,6512.61,17.46,+0.27%,0
2025-09-08,6498.09,6508.67,6483.29,6495.15,13.65,+0.21%,0
2025-09-05,6527.31,6532.65,6444.37,6481.5,-20.58,-0.32%,0
2025-09-04,6456.6,6502.52,6445.98,6502.08,53.82,+0.83%,0
2025-09-03,6445.82,6453.67,6416.17,6448.26,32.72,+0.51%,0
2025-09-02,6379.25,6416.54,6360.58,6415.54,-44.72,-0.69%,0
2025-08-29,6489.28,6489.64,6444.57,6460.26,-41.6,-0.64%,0
2025-08-28,6483.84,6508.12,6466.96,6501.86,20.46,+0.32%,0
2025-08-27,6462.26,6487.06,6458.67,6481.4,15.46,+0.24%,0
2025-08-26,6435.49,6468.22,6429.21,6465.94,26.62,+0.41%,0
2025-08-25,6454.69,6466.89,6438.06,6439.32,-27.59,-0.43%,0
2025-08-22,6384.59,6478.89,6384.59,6466.91,96.74,+1.52%,0
2025-08-21,6380.83,6393.65,6352.71,6370.17,-25.61,-0.40%,0
2025-08-20,6406.62,6407.22,6343.86,6395.78,-15.59,-0.24%,0
2025-08-19,6446.24,6456.48,6400.22,6411.37,-37.78,-0.59%,0
2025-08-18,6445.02,6455.35,6437.7,6449.15,-0.65,-0.01%,0
2025-08-15,6477.38,6477.38,6441.85,6449.8,-18.74,-0.29%,0
2025-08-14,6453.46,6473.92,6441.07,6468.54,1.96,+0.03%,0
2025-08-13,6462.67,6479.61,6445.02,6466.58,20.82,+0.32%,0
2025-08-12,6395.17,6446.53,6385.76,6445.76,72.31,+1.13%,0
2025-08-11,6392.28,6407.25,6364.06,6373.45,-16.,-0.25%,0
2025-08-08,6355.22,6395.16,6355.22,6389.45,49.45,+0.78%,0
2025-08-07,6374.32,6389.19,6310.32,6340,-5.06,-0.08%,0
2025-08-06,6309.3,6352.83,6301.11,6345.06,45.87,+0.73%,0
2025-08-05,6336.63,6346,6289.41,6299.19,-30.75,-0.49%,0
2025-08-04,6271.71,6330.42,6271.71,6329.94,91.93,+1.47%,0
2025-08-01,6287.28,6287.28,6212.69,6238.01,-101.38,-1.60%,0
2025-07-31,6427.02,6427.02,6328.13,6339.39,-23.51,-0.37%,0
2025-07-30,6381.23,6396.01,6337,6362.9,-7.96,-0.12%,0
2025-07-29,6405.62,6408.93,6363.92,6370.86,-18.91,-0.30%,0
2025-07-28,6397.69,6401.07,6375.79,6389.77,1.13,+0.02%,0
2025-07-25,6370.01,6395.82,6368.53,6388.64,25.29,+0.40%,0
2025-07-24,6368.6,6381.31,6360.57,6363.35,4.44,+0.07%,0
2025-07-23,6326.9,6360.64,6317.49,6358.91,49.29,+0.78%,0
2025-07-22,6306.6,6316.12,6281.71,6309.62,4.02,+0.06%,0
2025-07-21,6304.74,6336.08,6303.86,6305.6,8.81,+0.14%,0
2025-07-18,6312.95,6314.2,6285.27,6296.79,-0.57,-0.01%,0
2025-07-17,6263.4,6304.69,6262.42,6297.36,33.66,+0.54%,0
2025-07-16,6254.5,6268.12,6202.33,6263.7,19.94,+0.32%,0
2025-07-15,6295.29,6302.04,6242.88,6243.76,-24.8,-0.40%,0
2025-07-14,6255.15,6273.31,6239.64,6268.56,8.81,+0.14%,0
2025-07-11,6255.68,6269.44,6237.6,6259.75,-20.71,-0.33%,0
2025-07-10,6266.8,6290.22,6252.21,6280.46,17.2,+0.27%,0
2025-07-09,6243.33,6269.16,6231.43,6263.26,37.74,+0.61%,0
2025-07-08,6234.03,6242.7,6217.75,6225.52,-4.46,-0.07%,0
2025-07-07,6259.04,6262.07,6201,6229.98,-49.37,-0.79%,0
2025-07-03,6246.46,6284.65,6246.46,6279.35,51.93,+0.83%,0
2025-07-02,6193.88,6227.48,6188.29,6227.42,29.41,+0.47%,0
2025-07-01,6187.25,6210.78,6177.97,6198.01,-6.94,-0.11%,0
2025-06-30,6193.36,6215.08,6174.97,6204.95,31.88,+0.52%,0
2025-06-27,6150.7,6187.68,6132.35,6173.07,32.05,+0.52%,0
2025-06-26,6112.09,6146.52,6107.87,6141.02,48.86,+0.80%,0
2025-06-25,6104.23,6108.51,6080.09,6092.16,-0.02,0.00%,0
