Time,Open,High,Low,Latest,Change,%Change,Volume,OpenInt
03/03/2026,6931.50,6933.00,6802.50,6811.00,-129.75,-1.87%,3771,0
03/02/2026,6873.00,6963.25,6820.75,6940.75,-0.75,-0.01%,12205,52762
02/27/2026,6954.50,6968.00,6894.00,6941.50,-31.25,-0.45%,8531,52494
02/26/2026,7015.25,7023.75,6924.00,6972.75,-40.5,-0.58%,6473,50632
02/25/2026,6951.50,7035.00,6946.25,7013.25,56.75,0.0082,3854,49062
02/24/2026,6907.50,6965.25,6881.25,6956.50,52.75,0.0076,2805,48535
02/23/2026,6969.00,6983.75,6885.75,6903.75,-72.5,-1.04%,5496,47970
02/20/2026,6926.25,6983.75,6899.75,6976.25,47,0.68%,9350,46131
02/19/2026,6946.00,6964.50,6900.00,6929.25,-18,-0.26%,5288,43512
02/18/2026,6909.25,6978.50,6901.75,6947.25,34.25,0.50%,5213,42683
02/17/2026,6906.50,6937.75,6843.00,6913.00,10.25,0.15%,5669,42443
02/13/2026,6918.00,6950.25,6861.75,6902.75,-1,-0.0001,5750,42077
02/12/2026,7013.25,7046.00,6895.00,6903.75,-110.5,-0.0158,3843,40224
02/11/2026,7027.00,7065.25,6985.50,7014.25,-0.25,unch,4678,40133
02/10/2026,7041.25,7059.50,7010.25,7014.50,-22.25,-0.32%,2434,38579
02/09/2026,7014.75,7053.75,6974.75,7036.75,30.75,0.44%,3334,37113
02/06/2026,6848.75,7018.25,6803.50,7006.00,133.5,1.94%,19723,35805
02/05/2026,6970.25,6988.50,6837.25,6872.50,-87,-1.25%,7597,21412
02/04/2026,6986.00,7018.25,6915.50,6959.50,-36,-0.0051,4094,17820
02/03/2026,7070.75,7082.25,6939.75,6995.50,-61.25,-0.0087,4932,17165
02/02/2026,6988.50,7071.25,6917.50,7056.75,37.5,0.53%,2464,15377
01/30/2026,7038.00,7048.25,6971.00,7019.25,-27.5,-0.39%,4858,14585
01/29/2026,7070.75,7083.75,6951.75,7046.75,-14.75,-0.21%,3986,13211
01/28/2026,7065.25,7097.00,7034.75,7061.50,-1.25,-0.02%,2704,13227
01/27/2026,7028.00,7072.75,7026.75,7062.75,27.25,0.39%,1827,11915
01/26/2026,6976.00,7049.00,6934.75,7035.50,35.75,0.0051,1404,11036
01/23/2026,6990.00,7017.25,6979.00,6999.75,0.75,0.0001,1443,10955
01/22/2026,6977.50,7022.25,6965.00,6999.00,35.5,0.51%,2225,10578
01/21/2026,6890.75,6998.50,6867.50,6963.50,81.5,1.18%,3153,9773
01/20/2026,6995.00,6995.00,6875.25,6882.00,-148.5,-2.11%,4468,9574
01/16/2026,7038.50,7060.25,7014.75,7030.50,-5,-0.07%,2901,8761
01/15/2026,7009.50,7071.00,7003.00,7035.50,16.25,0.23%,2555,7053
01/14/2026,7052.00,7055.25,6976.00,7019.25,-36,-0.51%,3804,6842
01/13/2026,7063.00,7089.00,7030.25,7055.25,-14.75,-0.21%,3256,5570
01/12/2026,7055.00,7078.75,7003.00,7070.00,11.75,0.17%,1580,3565
01/09/2026,7017.25,7070.25,7007.00,7058.25,44.25,0.63%,1591,3279
01/08/2026,7017.25,7028.75,6987.50,7014.00,-1.25,-0.02%,1361,3301
01/07/2026,7039.50,7058.50,7010.25,7015.25,-24.5,-0.35%,1625,3179
01/06/2026,6995.75,7042.75,6983.25,7039.75,44.5,0.64%,901,2982
01/05/2026,6960.00,7014.50,6951.75,6995.25,44,0.0063,529,2933
01/02/2026,6952.00,6990.50,6917.75,6951.25,7.5,0.0011,1024,2875
12/31/2025,6996.50,7002.50,6941.75,6943.75,-51.75,-0.74%,751,2755
12/30/2025,7007.00,7012.50,6992.50,6995.50,-10.75,-0.15%,654,2639
12/29/2025,7032.50,7036.25,6987.75,7006.25,-24.75,-0.35%,1066,2644
12/26/2025,7036.00,7045.25,7021.25,7031.00,-4,-0.06%,741,2479
12/24/2025,7010.75,7039.75,7005.50,7035.00,22,0.31%,431,2374
12/23/2025,6980.50,7015.25,6965.50,7013.00,31.25,0.0045,807,2322
12/22/2025,6961.00,6987.25,6952.25,6981.75,43.5,0.0063,948,2234
12/19/2025,6876.50,6945.25,6870.75,6938.25,58.25,0.85%,699,2035
12/18/2025,6836.75,6921.00,6822.00,6880.00,51.25,0.75%,849,1908
12/17/2025,6894.25,6933.50,6825.75,6828.75,-78,-1.13%,555,1874
12/16/2025,6927.50,6943.50,6870.00,6906.75,-26.25,-0.38%,1180,1694
12/15/2025,6935.00,6982.00,6915.50,6933.00,-9.5,-0.14%,654,1435
12/12/2025,7017.75,7025.25,6914.00,6942.50,-77,-1.10%,193,1376
12/11/2025,6999.00,7041.00,6929.25,7019.50,16.75,0.0024,396,1333
12/10/2025,6964.25,7017.75,6942.00,7002.75,43.5,0.63%,46,1807
12/09/2025,6977.50,6981.50,6956.00,6959.25,-6,-0.09%,58,1816
12/08/2025,6994.25,7002.25,6946.75,6965.25,-24.5,-0.35%,354,1785
12/05/2025,6976.00,7015.50,6968.75,6989.75,12.75,0.18%,71,1539
12/04/2025,6970.00,6990.75,6948.25,6977.00,4.5,0.06%,30,1364
12/03/2025,6935.50,6982.50,6929.75,6972.50,21.5,0.0031,142,2006
12/02/2025,6936.25,6973.50,6924.50,6951.00,14,0.002,133,1888
12/01/2025,6968.50,6973.75,6915.25,6937.00,-33,-0.47%,55,1814
11/28/2025,6953.50,6971.00,6938.25,6970.00,31,0.45%,2,1221
